動物類型,年,月,登記數,除戶數,絕育數,絕育除戶數,絕育率
狗,2024,12,88,0,30,0,34.09
貓,2024,12,224,0,134,0,59.82
狗,2024,11,372,3,87,0,23.58
貓,2024,11,802,5,481,1,60.23
狗,2024,10,410,19,111,0,28.39
貓,2024,10,871,7,478,1,55.21
狗,2024,9,493,11,146,3,29.67
貓,2024,9,827,20,443,3,54.52
狗,2024,8,501,13,136,1,27.66
貓,2024,8,1037,17,509,3,49.61
狗,2024,7,516,8,152,0,29.92
貓,2024,7,889,28,431,2,49.83
狗,2024,6,448,11,156,1,35.47
貓,2024,6,969,46,521,4,56.01
狗,2024,5,572,12,203,5,35.36
貓,2024,5,1001,43,587,2,61.06
狗,2024,4,483,13,209,3,43.83
貓,2024,4,875,28,560,5,65.53
狗,2024,3,527,17,226,5,43.33
貓,2024,3,929,25,679,5,74.56
狗,2024,2,470,11,192,1,41.61
貓,2024,2,782,16,574,4,74.41
狗,2024,1,542,23,250,4,47.40
貓,2024,1,982,14,750,4,77.07
狗,2023,12,423,9,203,3,48.31
貓,2023,12,745,10,526,5,70.88
狗,2023,11,506,15,288,6,57.43
貓,2023,11,873,17,627,9,72.20
狗,2023,10,510,10,249,3,49.20
貓,2023,10,884,18,647,6,74.02
狗,2023,9,510,12,246,0,49.40
貓,2023,9,852,27,613,6,73.58
狗,2023,8,536,18,283,4,53.86
貓,2023,8,846,17,605,3,72.62
狗,2023,7,498,11,237,5,47.64
貓,2023,7,913,26,618,6,69.00
狗,2023,6,584,29,312,5,55.32
貓,2023,6,813,20,585,6,73.01
狗,2023,5,553,28,287,6,53.52
貓,2023,5,825,23,598,10,73.32
狗,2023,4,537,26,285,3,55.19
貓,2023,4,921,19,739,7,81.15
狗,2023,3,647,36,339,7,54.34
貓,2023,3,1042,33,831,8,81.57
狗,2023,2,589,26,322,5,56.31
貓,2023,2,938,27,743,11,80.35
狗,2023,1,526,23,276,0,54.87
貓,2023,1,829,18,642,7,78.30
狗,2022,12,545,22,320,7,59.85
貓,2022,12,856,21,676,8,80.00
狗,2022,11,480,32,253,6,55.13
貓,2022,11,957,21,774,11,81.52
狗,2022,10,609,27,336,9,56.19
貓,2022,10,974,24,759,6,79.26
狗,2022,9,576,38,329,11,59.11
貓,2022,9,894,14,699,7,78.64
狗,2022,8,650,32,392,6,62.46
貓,2022,8,975,32,751,13,78.26
狗,2022,7,707,28,439,10,63.18
貓,2022,7,898,31,666,18,74.74
狗,2022,6,604,42,347,8,60.32
貓,2022,6,983,41,714,10,74.73
狗,2022,5,609,29,357,9,60.00
貓,2022,5,883,21,674,8,77.26
狗,2022,4,690,39,376,17,55.15
貓,2022,4,981,25,776,11,80.02
狗,2022,3,710,37,413,18,58.69
貓,2022,3,963,35,765,15,80.82
狗,2022,2,633,43,378,16,61.36
貓,2022,2,875,27,708,12,82.08
狗,2022,1,711,47,384,17,55.27
貓,2022,1,1004,23,811,7,81.96
狗,2021,12,642,36,357,14,56.60
貓,2021,12,834,39,615,11,75.97
狗,2021,11,684,35,413,16,61.17
貓,2021,11,973,31,735,11,76.86
狗,2021,10,806,60,479,27,60.59
貓,2021,10,1004,45,774,22,78.42
狗,2021,9,628,40,370,19,59.69
貓,2021,9,891,35,689,7,79.67
狗,2021,8,828,51,472,19,58.30
貓,2021,8,898,28,702,13,79.20
狗,2021,7,782,54,465,24,60.58
貓,2021,7,790,31,602,13,77.60
狗,2021,6,565,31,321,14,57.49
貓,2021,6,728,23,560,12,77.73
狗,2021,5,677,49,373,25,55.41
貓,2021,5,800,44,585,21,74.60
狗,2021,4,701,52,421,24,61.17
貓,2021,4,821,34,609,16,75.35
狗,2021,3,763,44,487,28,63.84
貓,2021,3,948,40,763,15,82.38
狗,2021,2,591,50,352,18,61.74
貓,2021,2,697,28,579,16,84.16
狗,2021,1,689,57,413,25,61.39
貓,2021,1,874,39,727,18,84.91
狗,2020,12,609,50,385,24,64.58
貓,2020,12,661,37,524,15,81.57
狗,2020,11,651,47,411,29,63.25
貓,2020,11,648,33,525,18,82.44
狗,2020,10,690,65,395,30,58.40
貓,2020,10,788,35,661,18,85.39
狗,2020,9,699,59,451,31,65.63
貓,2020,9,716,43,565,19,81.13
狗,2020,8,764,69,476,36,63.31
貓,2020,8,752,32,612,9,83.75
狗,2020,7,787,62,490,27,63.86
貓,2020,7,782,26,614,16,79.10
狗,2020,6,723,63,478,25,68.64
貓,2020,6,740,34,602,19,82.58
狗,2020,5,740,57,474,25,65.74
貓,2020,5,832,63,638,28,79.32
狗,2020,4,782,63,504,31,65.79
貓,2020,4,729,45,615,25,86.26
狗,2020,3,805,75,502,35,63.97
貓,2020,3,809,30,696,20,86.78
狗,2020,2,745,82,467,35,65.16
貓,2020,2,815,45,688,18,87.01
狗,2020,1,670,52,404,15,62.94
貓,2020,1,692,59,586,23,88.94
狗,2019,12,654,88,407,41,64.66
貓,2019,12,528,29,439,17,84.57
狗,2019,11,731,78,470,30,67.38
貓,2019,11,614,31,508,12,85.08
狗,2019,10,793,72,537,35,69.63
貓,2019,10,818,51,688,27,86.18
狗,2019,9,644,56,405,28,64.12
貓,2019,9,671,26,567,16,85.43
狗,2019,8,775,63,500,27,66.43
貓,2019,8,660,49,559,21,88.05
狗,2019,7,772,98,490,46,65.88
貓,2019,7,753,64,596,27,82.58
狗,2019,6,653,71,429,35,67.70
貓,2019,6,615,39,509,19,85.07
狗,2019,5,767,102,471,50,63.31
貓,2019,5,768,61,648,24,88.26
狗,2019,4,771,84,507,32,69.14
貓,2019,4,647,58,531,25,85.91
狗,2019,3,764,91,481,32,66.72
貓,2019,3,720,52,601,28,85.78
狗,2019,2,666,87,420,38,65.98
貓,2019,2,559,43,489,25,89.92
狗,2019,1,729,76,487,38,68.76
貓,2019,1,755,47,651,29,87.85
狗,2018,12,610,59,389,27,65.70
貓,2018,12,536,32,449,15,86.11
狗,2018,11,809,98,521,58,65.12
貓,2018,11,637,52,518,25,84.27
狗,2018,10,965,122,625,77,65.01
