動物類型,年,月,登記數,除戶數,絕育數,絕育除戶數,絕育率
狗,2024,12,340,1,114,0,33.63
貓,2024,12,500,1,282,1,56.31
狗,2024,11,954,5,292,1,30.66
貓,2024,11,1738,15,870,1,50.44
狗,2024,10,936,18,232,1,25.16
貓,2024,10,1973,17,867,4,44.12
狗,2024,9,884,19,199,4,22.54
貓,2024,9,1692,18,841,1,50.18
狗,2024,8,988,27,243,3,24.97
貓,2024,8,1832,34,893,4,49.44
狗,2024,7,968,40,250,4,26.51
貓,2024,7,1566,37,697,2,45.45
狗,2024,6,834,31,256,2,31.63
貓,2024,6,1736,64,775,7,45.93
狗,2024,5,1100,42,372,3,34.88
貓,2024,5,1875,72,996,8,54.80
狗,2024,4,1047,52,369,6,36.48
貓,2024,4,1729,58,999,4,59.55
狗,2024,3,1025,35,399,5,39.80
貓,2024,3,1745,42,1144,8,66.71
狗,2024,2,960,78,341,3,38.32
貓,2024,2,1384,51,900,7,66.99
狗,2024,1,1063,56,430,5,42.20
貓,2024,1,1566,59,1026,9,67.49
狗,2023,12,1021,45,484,14,48.16
貓,2023,12,1500,45,1034,9,70.45
狗,2023,11,1074,40,570,6,54.55
貓,2023,11,1593,42,1082,11,69.05
狗,2023,10,1186,50,582,9,50.44
貓,2023,10,1546,51,976,7,64.82
狗,2023,9,860,51,376,6,45.74
貓,2023,9,1571,67,974,8,64.23
狗,2023,8,1106,40,590,9,54.50
貓,2023,8,1622,67,1009,10,64.24
狗,2023,7,982,42,476,8,49.79
貓,2023,7,1747,90,1015,4,61.01
狗,2023,6,1011,58,461,7,47.64
貓,2023,6,1490,90,938,12,66.14
狗,2023,5,1045,77,476,9,48.24
貓,2023,5,1614,88,1073,16,69.27
狗,2023,4,976,60,452,2,49.13
貓,2023,4,1655,96,1084,12,68.76
狗,2023,3,1125,102,541,10,51.91
貓,2023,3,1916,124,1309,20,71.93
狗,2023,2,1070,100,486,15,48.56
貓,2023,2,1724,83,1167,12,70.38
狗,2023,1,969,96,420,10,46.96
貓,2023,1,1437,62,1007,19,71.85
狗,2022,12,1046,73,489,14,48.82
貓,2022,12,1532,64,1077,12,72.55
狗,2022,11,1067,104,530,16,53.37
貓,2022,11,1574,75,1089,10,71.98
狗,2022,10,1068,80,534,13,52.73
貓,2022,10,1629,93,1101,20,70.38
狗,2022,9,1059,68,532,26,51.06
貓,2022,9,1514,62,962,15,65.22
狗,2022,8,1214,102,622,24,53.78
貓,2022,8,1752,102,1124,17,67.09
狗,2022,7,1271,106,592,24,48.76
貓,2022,7,1674,104,1033,21,64.46
狗,2022,6,1084,71,519,17,49.56
貓,2022,6,1562,118,973,22,65.86
狗,2022,5,1036,82,552,20,55.77
貓,2022,5,1549,92,1008,19,67.88
狗,2022,4,1222,90,630,17,54.15
貓,2022,4,1573,110,1051,19,70.54
狗,2022,3,1272,87,645,17,53.00
貓,2022,3,1654,78,1197,24,74.43
狗,2022,2,1145,85,538,20,48.87
貓,2022,2,1412,70,975,21,71.09
狗,2022,1,1214,89,566,15,48.98
貓,2022,1,1592,89,1072,19,70.06
狗,2021,12,1171,88,590,31,51.62
貓,2021,12,1319,51,870,13,67.59
狗,2021,11,984,85,495,20,52.84
貓,2021,11,1329,66,868,16,67.46
狗,2021,10,1143,100,585,32,53.02
貓,2021,10,1488,121,944,34,66.57
狗,2021,9,1235,109,622,20,53.46
貓,2021,9,1385,87,871,21,65.49
狗,2021,8,1414,100,674,23,49.54
貓,2021,8,1510,80,930,23,63.43
狗,2021,7,1349,126,704,37,54.54
貓,2021,7,1518,76,1004,23,68.03
狗,2021,6,1053,109,577,38,57.10
貓,2021,6,1128,56,718,13,65.76
狗,2021,5,1028,86,587,35,58.60
貓,2021,5,1227,68,806,11,68.59
狗,2021,4,1068,92,578,34,55.74
貓,2021,4,1348,92,927,28,71.58
狗,2021,3,1294,120,753,55,59.45
貓,2021,3,1474,67,1064,27,73.70
狗,2021,2,1008,102,580,47,58.83
貓,2021,2,1025,50,728,21,72.51
狗,2021,1,1335,178,671,66,52.29
貓,2021,1,1232,68,889,23,74.40
狗,2020,12,1083,104,574,43,54.24
貓,2020,12,1091,69,727,20,69.18
狗,2020,11,1130,113,610,66,53.49
貓,2020,11,1118,67,757,23,69.84
狗,2020,10,1169,103,608,51,52.25
貓,2020,10,1239,77,805,21,67.47
狗,2020,9,1225,124,644,48,54.13
貓,2020,9,1177,94,730,26,65.00
狗,2020,8,1200,105,642,47,54.34
貓,2020,8,1202,99,750,22,66.00
狗,2020,7,1349,129,716,62,53.61
貓,2020,7,1194,105,715,20,63.82
狗,2020,6,1252,133,709,70,57.10
貓,2020,6,1112,90,691,24,65.26
狗,2020,5,1308,120,692,46,54.38
貓,2020,5,1182,94,766,39,66.82
狗,2020,4,1281,122,685,37,55.91
貓,2020,4,1188,109,818,36,72.47
狗,2020,3,1314,116,737,45,57.76
貓,2020,3,1236,72,885,23,74.05
狗,2020,2,1404,112,790,49,57.35
貓,2020,2,1258,87,917,29,75.83
狗,2020,1,1129,133,551,50,50.30
貓,2020,1,954,80,647,21,71.62
